areaCode,areaName,areaType,date,cumPeopleVaccinatedFirstDoseByPublishDate
K02000001,United Kingdom,overview,2023-05-17,45417090
K02000001,United Kingdom,overview,2023-05-16,45417090
K02000001,United Kingdom,overview,2023-05-15,45417090
K02000001,United Kingdom,overview,2023-05-14,45417090
K02000001,United Kingdom,overview,2023-05-13,45417090
K02000001,United Kingdom,overview,2023-05-12,45417090
K02000001,United Kingdom,overview,2023-05-11,45417090
K02000001,United Kingdom,overview,2023-05-10,45417090
K02000001,United Kingdom,overview,2023-05-09,45417090
K02000001,United Kingdom,overview,2023-05-08,45417090
K02000001,United Kingdom,overview,2023-05-07,45417090
K02000001,United Kingdom,overview,2023-05-06,45417090
K02000001,United Kingdom,overview,2023-05-05,45417090
K02000001,United Kingdom,overview,2023-05-04,45417090
K02000001,United Kingdom,overview,2023-05-03,45417090
K02000001,United Kingdom,overview,2023-05-02,45417090
K02000001,United Kingdom,overview,2023-05-01,45417090
K02000001,United Kingdom,overview,2023-04-30,45417090
K02000001,United Kingdom,overview,2023-04-29,45417090
K02000001,United Kingdom,overview,2023-04-28,45417090
K02000001,United Kingdom,overview,2023-04-27,45417090
K02000001,United Kingdom,overview,2023-04-26,45417090
K02000001,United Kingdom,overview,2023-04-25,45417090
K02000001,United Kingdom,overview,2023-04-24,45417090
K02000001,United Kingdom,overview,2023-04-23,45417090
K02000001,United Kingdom,overview,2023-04-22,45417090
K02000001,United Kingdom,overview,2023-04-21,45417090
K02000001,United Kingdom,overview,2023-04-20,45417090
K02000001,United Kingdom,overview,2023-04-19,45417090
K02000001,United Kingdom,overview,2023-04-18,45417090
K02000001,United Kingdom,overview,2023-04-17,45417090
K02000001,United Kingdom,overview,2023-04-16,45417090
K02000001,United Kingdom,overview,2023-04-15,45417090
K02000001,United Kingdom,overview,2023-04-14,45417090
K02000001,United Kingdom,overview,2023-04-13,45417090
K02000001,United Kingdom,overview,2023-04-12,45417090
K02000001,United Kingdom,overview,2023-04-11,45417090
K02000001,United Kingdom,overview,2023-04-10,45417090
K02000001,United Kingdom,overview,2023-04-09,45417090
K02000001,United Kingdom,overview,2023-04-08,45417090
K02000001,United Kingdom,overview,2023-04-07,45417090
K02000001,United Kingdom,overview,2023-04-06,45417090
K02000001,United Kingdom,overview,2023-04-05,45417090
K02000001,United Kingdom,overview,2023-04-04,45417090
K02000001,United Kingdom,overview,2023-04-03,45417090
K02000001,United Kingdom,overview,2022-09-11,53813491
K02000001,United Kingdom,overview,2022-09-10,53812756
K02000001,United Kingdom,overview,2022-09-09,53810757
K02000001,United Kingdom,overview,2022-09-08,53809727
K02000001,United Kingdom,overview,2022-09-07,53808854
K02000001,United Kingdom,overview,2022-09-06,53808189
K02000001,United Kingdom,overview,2022-09-05,53807630
K02000001,United Kingdom,overview,2022-09-04,53806963
K02000001,United Kingdom,overview,2022-09-03,53806055
K02000001,United Kingdom,overview,2022-09-02,53803521
K02000001,United Kingdom,overview,2022-09-01,53802125
K02000001,United Kingdom,overview,2022-08-31,53800393
K02000001,United Kingdom,overview,2022-08-30,53797820
K02000001,United Kingdom,overview,2022-08-29,53795354
K02000001,United Kingdom,overview,2022-08-28,53794738
K02000001,United Kingdom,overview,2022-08-27,53793461
K02000001,United Kingdom,overview,2022-08-26,53790320
K02000001,United Kingdom,overview,2022-08-25,53787749
K02000001,United Kingdom,overview,2022-08-24,53785024
K02000001,United Kingdom,overview,2022-08-23,53782471
K02000001,United Kingdom,overview,2022-08-22,53780324
K02000001,United Kingdom,overview,2022-08-21,53778336
K02000001,United Kingdom,overview,2022-08-20,53776910
K02000001,United Kingdom,overview,2022-08-19,53773332
K02000001,United Kingdom,overview,2022-08-18,53771034
K02000001,United Kingdom,overview,2022-08-17,53769032
K02000001,United Kingdom,overview,2022-08-16,53766874
K02000001,United Kingdom,overview,2022-08-15,53764735
K02000001,United Kingdom,overview,2022-08-14,53757748
K02000001,United Kingdom,overview,2022-08-13,53756272
K02000001,United Kingdom,overview,2022-08-12,53752910
K02000001,United Kingdom,overview,2022-08-11,53750794
K02000001,United Kingdom,overview,2022-08-10,53748627
K02000001,United Kingdom,overview,2022-08-09,53746565
K02000001,United Kingdom,overview,2022-08-08,53744613
K02000001,United Kingdom,overview,2022-08-07,53742609
K02000001,United Kingdom,overview,2022-08-06,53740635
K02000001,United Kingdom,overview,2022-08-05,53736707
K02000001,United Kingdom,overview,2022-08-04,53734111
K02000001,United Kingdom,overview,2022-08-03,53731979
K02000001,United Kingdom,overview,2022-08-02,53728983
K02000001,United Kingdom,overview,2022-08-01,53726268
K02000001,United Kingdom,overview,2022-07-31,53723887
K02000001,United Kingdom,overview,2022-07-30,53721640
K02000001,United Kingdom,overview,2022-07-29,53716914
K02000001,United Kingdom,overview,2022-07-28,53713469
K02000001,United Kingdom,overview,2022-07-27,53710109
K02000001,United Kingdom,overview,2022-07-26,53706796
